aorist,"a verb tense in some languages (classical Greek and Sanskrit) expressing action (especially past action) without indicating its completion or continuation"
aoristic,"of or relating to the aorist tense"
aorists,"a verb tense in some languages (classical Greek and Sanskrit) expressing action (especially past action) without indicating its completion or continuation"
aorta,"the large trunk artery that carries blood from the left ventricle of the heart to branch arteries"
aortae,"the large trunk artery that carries blood from the left ventricle of the heart to branch arteries"
aortal,"of or relating to the aorta"
aortas,"the large trunk artery that carries blood from the left ventricle of the heart to branch arteries"
aortic,"of or relating to the aorta"
aoudad,"wild sheep of northern Africa"
aoudads,"wild sheep of northern Africa"
