aecia,"fruiting body of some rust fungi bearing chains of aeciospores"
aecial,"of or belonging to an aecium"
aecidia
aecidium
aecium,"fruiting body of some rust fungi bearing chains of aeciospores"
aedes,"yellow-fever mosquitos"
aedile
aediles
aedine
aegis,"kindly endorsement and guidance; "the tournament was held under the auspices of the city council"","armor plate that protects the chest; the front part of a cuirass"
aegises
aeneous
aeneus
aeolian,"a member of one of four linguistic divisions of the prehistoric Greeks","the ancient Greek inhabitants of Aeolia","of or pertaining to Aeolus, the Greek god of the winds; relating to or caused by the wind","of or relating to Aeolis or its ancient Greek people"
aeon,"(Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe","the longest division of geological time","an immeasurably long period of time; "oh, that happened eons ago""
aeonian,"of or relating to a geological eon (longer than an era)","continuing forever or indefinitely; "the ageless themes of love and revenge"; "eternal truths"; "life everlasting"; "hell's perpetual fires"; "the unending bliss of heaven""
aeonic
aeons,"(Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe","the longest division of geological time","an immeasurably long period of time; "oh, that happened eons ago""
aerate,"expose to fresh air; "aerate your old sneakers"","aerate (sewage) so as to favor the growth of organisms that decompose organic matter","impregnate, combine, or supply with oxygen; "oxygenate blood""
aerated,"(of a liquid) treated by having air passed or bubbled through it for purification","supplied with carbon dioxide"
aerates,"expose to fresh air; "aerate your old sneakers"","aerate (sewage) so as to favor the growth of organisms that decompose organic matter","impregnate, combine, or supply with oxygen; "oxygenate blood""
aerating
aeration,"the process of exposing to air (so as to purify); "the aeration of the soil"","the act of charging a liquid with a gas making it effervescent"
aerations,"the process of exposing to air (so as to purify); "the aeration of the soil"","the act of charging a liquid with a gas making it effervescent"
aerator,"an apparatus for exposing something to the air (as sewage)"
aerators,"an apparatus for exposing something to the air (as sewage)"
aerial,"a pass to a receiver downfield from the passer","an electrical device that sends or receives radio or television signals","existing or living or growing or operating in the air; "aerial roots of a philodendron"; "aerial particles"; "small aerial creatures such as butterflies"; "aerial warfare"; "aerial photography"; "aerial cable cars"","characterized by lightness and insubstantiality; as impalpable or intangible as air; "figures light and aeriform come unlooked for and melt away"- Thomas Carlyle; "aerial fancies"; "an airy apparition"; "physical rather than ethereal forms""
aerially,"by means of aircraft; "the survey was carried out aerially""
aerials,"a pass to a receiver downfield from the passer","an electrical device that sends or receives radio or television signals","existing or living or growing or operating in the air; "aerial roots of a philodendron"; "aerial particles"; "small aerial creatures such as butterflies"; "aerial warfare"; "aerial photography"; "aerial cable cars"","characterized by lightness and insubstantiality; as impalpable or intangible as air; "figures light and aeriform come unlooked for and melt away"- Thomas Carlyle; "aerial fancies"; "an airy apparition"; "physical rather than ethereal forms""
aerie,"the lofty nest of a bird of prey (such as a hawk or eagle)","any habitation at a high altitude"
aerier
aeries,"the lofty nest of a bird of prey (such as a hawk or eagle)","any habitation at a high altitude"
aeriest
aerified,"turn into gas; "The substance gasified""
aerifies
aeriform,"resembling air or having the form of air","characterized by lightness and insubstantiality; as impalpable or intangible as air; "figures light and aeriform come unlooked for and melt away"- Thomas Carlyle; "aerial fancies"; "an airy apparition"; "physical rather than ethereal forms""
aerify,"turn into gas; "The substance gasified""
aerifying
aerily
aero
aerobe,"an organism (especially a bacterium) that requires air or free oxygen for life"
aerobes,"an organism (especially a bacterium) that requires air or free oxygen for life"
aerobia
aerobic,"depending on free oxygen or air; "aerobic fermentation"","based on or using the principles of aerobics; enhancing respiratory and circulatory efficiency; "aerobic dance"; "running is very aerobic""
aerobium
aeroduct
aeroducts
aerodynamic,"of or relating to aerodynamics","designed or arranged to offer the least resistant to fluid flow; "a streamlined convertible""
aerodynamical
aerodynamically
aerodynamics,"the branch of mechanics that deals with the motion of gases (especially air) and their effects on bodies in the flow","of or relating to aerodynamics","designed or arranged to offer the least resistant to fluid flow; "a streamlined convertible""
aerodyne
aerodynes
aerofoil,"a device that provides reactive force when in motion relative to the surrounding air; can lift or control a plane in flight"
aerofoils,"a device that provides reactive force when in motion relative to the surrounding air; can lift or control a plane in flight"
aerogel
aerogels
aerogram,"a letter sent by air mail"
aerograms,"a letter sent by air mail"
aerolite,"a stony meteorite consisting of silicate minerals"
aerolites,"a stony meteorite consisting of silicate minerals"
aerolith
aeroliths
aerologies
aerology,"meteorology of the total extent of the atmosphere; especially the upper layers"
aeronaut,"someone who operates an aircraft"
aeronautic,"of or pertaining to aeronautics"
aeronautical,"of or pertaining to aeronautics"
aeronautically
aeronautics,"the theory and practice of navigation through air or space","of or pertaining to aeronautics"
aeronauts,"someone who operates an aircraft"
aeronomies
aeronomy
aerosol,"a cloud of solid or liquid particles in a gas","a dispenser that holds a substance under pressure and that can release it as a fine spray (usually by means of a propellant gas)"
aerosols,"a cloud of solid or liquid particles in a gas","a dispenser that holds a substance under pressure and that can release it as a fine spray (usually by means of a propellant gas)"
aerospace,"the atmosphere and outer space considered as a whole"
aerostat
aerostats
aerugo
aerugos
aery,"the lofty nest of a bird of prey (such as a hawk or eagle)","any habitation at a high altitude","characterized by lightness and insubstantiality; as impalpable or intangible as air; "figures light and aeriform come unlooked for and melt away"- Thomas Carlyle; "aerial fancies"; "an airy apparition"; "physical rather than ethereal forms""
aesthete,"one who professes great sensitivity to the beauty of art and nature"
aesthetes,"one who professes great sensitivity to the beauty of art and nature"
aesthetic,"(philosophy) a philosophical theory as to what is beautiful; "he despised the esthetic of minimalism"","relating to or dealing with the subject of aesthetics; "aesthetic values"","concerning or characterized by an appreciation of beauty or good taste; "the aesthetic faculties"; "an aesthetic person"; "aesthetic feeling"; "the illustrations made the book an aesthetic success"","aesthetically pleasing; "an artistic flower arrangement""
aesthetically,"in a tasteful way; "this building is aesthetically very pleasing""
aesthetics,"(art) the branch of philosophy dealing with beauty and taste (emphasizing the evaluative criteria that are applied to art); "traditional aesthetics assumed the existence of universal and timeless criteria of artistic value"","relating to or dealing with the subject of aesthetics; "aesthetic values"","concerning or characterized by an appreciation of beauty or good taste; "the aesthetic faculties"; "an aesthetic person"; "aesthetic feeling"; "the illustrations made the book an aesthetic success"","aesthetically pleasing; "an artistic flower arrangement""
aestival,"(rare) of or occurring in summer; "the sky was a burnished aestival blue"; "estival winds""
aether,"personification of the sky or upper air breathed by the Olympians; son of Erebus and night or of Chaos and darkness","a medium that was once supposed to fill all space and to support the propagation of electromagnetic waves"
aetheric
aethers,"personification of the sky or upper air breathed by the Olympians; son of Erebus and night or of Chaos and darkness","a medium that was once supposed to fill all space and to support the propagation of electromagnetic waves"
