usability,"the quality of being able to provide good service"
usable,"capable of being put to use; "usable byproducts"","fit or ready for use or service; "the toaster was still functional even after being dropped"; "the lawnmower is a bit rusty but still usable"; "an operational aircraft"; "the dishwasher is now in working order"","convenient for use or disposal; "the house is available after July 1"; "2000 square feet of usable office space""
usably
usage,"the act of using; "he warned against the use of narcotic drugs"; "skilled in the utilization of computers"","accepted or habitual practice","the customary manner in which a language (or a form of a language) is spoken or written; "English usage"; "a usage borrowed from French""
usages,"the act of using; "he warned against the use of narcotic drugs"; "skilled in the utilization of computers"","accepted or habitual practice","the customary manner in which a language (or a form of a language) is spoken or written; "English usage"; "a usage borrowed from French""
usance,"the period of time permitted by commercial usage for the payment of a bill of exchange (especially a foreign bill of exchange)","(economics) the utilization of economic goods to satisfy needs or in manufacturing; "the consumption of energy has increased steadily"","accepted or habitual practice"
usances,"the period of time permitted by commercial usage for the payment of a bill of exchange (especially a foreign bill of exchange)","(economics) the utilization of economic goods to satisfy needs or in manufacturing; "the consumption of energy has increased steadily"","accepted or habitual practice"
usaunce
usaunces
use,"the act of using; "he warned against the use of narcotic drugs"; "skilled in the utilization of computers"","what something is used for; "the function of an auger is to bore holes"; "ballet is beautiful but what use is it?"","a particular service; "he put his knowledge to good use"; "patrons have their uses"","(economics) the utilization of economic goods to satisfy needs or in manufacturing; "the consumption of energy has increased steadily"","(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition; "owls have nocturnal habits"; "she had a habit twirling the ends of her hair"; "long use had hardened him to it"","exerting shrewd or devious influence especially for one's own advantage; "his manipulation of his friends was scandalous"","(law) the exercise of the legal right to enjoy the benefits of owning property; "we were given the use of his boat"","put into service; make work or employ for a particular purpose or for its inherent or natural purpose; "use your head!"; "we only use Spanish at home"; "I can't use this tool"; "Apply a magnetic field here"; "This thinking was applied to many projects"; "How do you utilize this tool?"; "I apply this rule to get good results"; "use the plastic bags to store the food"; "He doesn't know how to use a computer"","take or consume (regularly or habitually); "She uses drugs rarely"","use up, consume fully; "The legislature expended its time on school questions"","seek or achieve an end by using to one's advantage; "She uses her influential friends to get jobs"; "The president's wife used her good connections"","avail oneself to; "apply a principle"; "practice a religion"; "use care when going down the stairs"; "use your common sense"; "practice non-violent resistance"","habitually do something (use only in the past tense); "She used to call her mother every week but now she calls only occasionally"; "I used to get sick when I ate in that dining hall"; "They used to vacation in the Bahamas""
useable,"fit or ready for use or service; "the toaster was still functional even after being dropped"; "the lawnmower is a bit rusty but still usable"; "an operational aircraft"; "the dishwasher is now in working order"","capable of being put to use; "usable byproducts"","convenient for use or disposal; "the house is available after July 1"; "2000 square feet of usable office space""
useably
used,"employed in accomplishing something; "the principle of surprise is the most used and misused of all the principles of war"- H.H.Arnold & I.C.Eaker","of persons; taken advantage of; "after going out of his way to help his friend get the job he felt not appreciated but used"","previously used or owned by another; "bought a secondhand (or used) car""
useful,"being of use or service; "the girl felt motherly and useful"; "a useful job"; "a useful member of society"","having a useful function; "utilitarian steel tables""
usefully,"in a useful manner; "extra money could be usefully spent on this project""
usefulness,"the quality of being of practical use"
useless,"having no beneficial use or incapable of functioning usefully; "a kitchen full of useless gadgets"; "she is useless in an emergency""
uselessly,"in a useless manner; "the furniture was sitting around uselessly""
uselessness,"the quality of having no practical use"
uselessnesses
user,"a person who makes use of a thing; someone who uses or employs something","a person who uses something or someone selfishly or unethically","a person who takes drugs"
users,"a person who makes use of a thing; someone who uses or employs something","a person who uses something or someone selfishly or unethically","a person who takes drugs"
uses,"the act of using; "he warned against the use of narcotic drugs"; "skilled in the utilization of computers"","what something is used for; "the function of an auger is to bore holes"; "ballet is beautiful but what use is it?"","a particular service; "he put his knowledge to good use"; "patrons have their uses"","(economics) the utilization of economic goods to satisfy needs or in manufacturing; "the consumption of energy has increased steadily"","(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition; "owls have nocturnal habits"; "she had a habit twirling the ends of her hair"; "long use had hardened him to it"","exerting shrewd or devious influence especially for one's own advantage; "his manipulation of his friends was scandalous"","(law) the exercise of the legal right to enjoy the benefits of owning property; "we were given the use of his boat"","put into service; make work or employ for a particular purpose or for its inherent or natural purpose; "use your head!"; "we only use Spanish at home"; "I can't use this tool"; "Apply a magnetic field here"; "This thinking was applied to many projects"; "How do you utilize this tool?"; "I apply this rule to get good results"; "use the plastic bags to store the food"; "He doesn't know how to use a computer"","take or consume (regularly or habitually); "She uses drugs rarely"","use up, consume fully; "The legislature expended its time on school questions"","seek or achieve an end by using to one's advantage; "She uses her influential friends to get jobs"; "The president's wife used her good connections"","avail oneself to; "apply a principle"; "practice a religion"; "use care when going down the stairs"; "use your common sense"; "practice non-violent resistance"","habitually do something (use only in the past tense); "She used to call her mother every week but now she calls only occasionally"; "I used to get sick when I ate in that dining hall"; "They used to vacation in the Bahamas""
usher,"Irish prelate who deduced from the Bible that Creation occurred in the year 4004 BC (1581-1656)","an official stationed at the entrance of a courtroom or legislative chamber","someone employed to conduct others","take (someone) to their seats, as in theaters or auditoriums; "The usher showed us to our seats""
ushered
usherette,"a female usher"
usherettes,"a female usher"
ushering
ushers,"Irish prelate who deduced from the Bible that Creation occurred in the year 4004 BC (1581-1656)","an official stationed at the entrance of a courtroom or legislative chamber","someone employed to conduct others","take (someone) to their seats, as in theaters or auditoriums; "The usher showed us to our seats""
using,"an act that exploits or victimizes someone (treats them unfairly); "capitalistic exploitation of the working class"; "paying Blacks less and charging them more is a form of victimization""
usnea,"widely distributed lichens usually having a greyish or yellow pendulous freely branched thallus"
usneas,"widely distributed lichens usually having a greyish or yellow pendulous freely branched thallus"
usquabae
usquabaes
usque
usquebae
usquebaes
usques
ustulate
usual,"occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure; "grew the usual vegetables"; "the usual summer heat"; "came at the usual time"; "the child's usual bedtime"","commonly encountered; "a common (or familiar) complaint"; "the usual greeting""
usually,"under normal conditions; "usually she was late""
usuals,"occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure; "grew the usual vegetables"; "the usual summer heat"; "came at the usual time"; "the child's usual bedtime"","commonly encountered; "a common (or familiar) complaint"; "the usual greeting""
usufruct,"a legal right to use and derive profit from property belonging to someone else provided that the property itself is not injured in any way"
usufructs,"a legal right to use and derive profit from property belonging to someone else provided that the property itself is not injured in any way"
usurer,"someone who lends money at excessive rates of interest"
usurers,"someone who lends money at excessive rates of interest"
usuries
usurious,"greatly exceeding bounds of reason or moderation; "exorbitant rent"; "extortionate prices"; "spends an outrageous amount on entertainment"; "usurious interest rate"; "unconscionable spending""
usurp,"seize and take control without authority and possibly with force; take as one's right or possession; "He assumed to himself the right to fill all positions in the town"; "he usurped my rights"; "She seized control of the throne after her husband died"","take the place of; "gloom had usurped mirth at the party after the news of the terrorist act broke""
usurped
usurper,"one who wrongfully or illegally seizes and holds the place of another"
usurpers,"one who wrongfully or illegally seizes and holds the place of another"
usurping
usurps,"seize and take control without authority and possibly with force; take as one's right or possession; "He assumed to himself the right to fill all positions in the town"; "he usurped my rights"; "She seized control of the throne after her husband died"","take the place of; "gloom had usurped mirth at the party after the news of the terrorist act broke""
usury,"an exorbitant or unlawful rate of interest","the act of lending money at an exorbitant rate of interest"
